time;AAN155Free;AAN155_Ba
382,08008;5,20E+01;8,80E+02
382,69043;4,60E+01;8,31E+02
383,30078;5,60E+01;8,99E+02
383,91113;4,50E+01;8,77E+02
384,52148;7,10E+01;8,36E+02
385,13184;6,50E+01;8,62E+02
385,74219;5,60E+01;7,72E+02
386,35254;5,30E+01;8,21E+02
386,96289;4,60E+01;8,18E+02
387,57324;5,00E+01;8,43E+02
388,18359;4,30E+01;8,50E+02
388,79395;5,00E+01;8,51E+02
389,4043;5,50E+01;8,51E+02
390,01465;6,40E+01;8,08E+02
390,625;2,80E+01;8,17E+02
391,23535;4,40E+01;7,93E+02
391,8457;5,20E+01;8,41E+02
392,45605;4,80E+01;8,50E+02
393,06641;4,70E+01;8,34E+02
393,67676;6,00E+01;8,22E+02
394,28711;4,90E+01;8,43E+02
394,89746;4,20E+01;8,20E+02
395,50781;6,10E+01;8,34E+02
396,11816;4,90E+01;9,25E+02
396,72852;4,80E+01;8,09E+02
397,33887;5,90E+01;8,38E+02
397,94922;4,60E+01;8,04E+02
398,55957;4,70E+01;7,76E+02
399,16992;6,30E+01;7,35E+02
399,78027;6,60E+01;8,29E+02
400,39063;4,00E+01;8,87E+02
401,001;4,10E+01;8,16E+02
401,61133;3,60E+01;8,26E+02
402,22168;4,10E+01;8,31E+02
402,832;3,80E+01;8,93E+02
403,44238;3,70E+01;8,18E+02
404,05273;4,50E+01;8,44E+02
404,66309;5,50E+01;8,11E+02
405,27344;4,30E+01;8,57E+02
405,88379;4,50E+01;8,68E+02
406,49414;5,80E+01;8,59E+02
407,10449;4,60E+01;8,53E+02
407,71484;3,40E+01;8,58E+02
408,3252;3,50E+01;7,84E+02
408,93555;6,30E+01;8,59E+02
409,5459;5,20E+01;8,10E+02
410,15625;3,80E+01;8,15E+02
410,7666;5,30E+01;8,33E+02
411,377;6,10E+01;8,62E+02
411,9873;4,00E+01;8,23E+02
412,59766;4,50E+01;7,84E+02
413,208;4,60E+01;8,18E+02
413,81836;5,60E+01;8,87E+02
414,42871;4,70E+01;8,19E+02
415,03906;4,70E+01;8,02E+02
415,64941;4,30E+01;8,57E+02
416,25977;5,80E+01;8,17E+02
416,87012;5,00E+01;8,16E+02
417,48047;3,90E+01;8,23E+02
418,09082;4,60E+01;8,44E+02
418,70117;5,00E+01;8,63E+02
419,31152;4,90E+01;8,32E+02
419,92188;4,00E+01;7,90E+02
420,53223;4,40E+01;7,88E+02
421,14258;4,40E+01;7,95E+02
421,75293;4,10E+01;7,84E+02
422,36328;3,90E+01;8,30E+02
422,97363;3,70E+01;7,89E+02
423,584;4,60E+01;7,80E+02
424,19434;5,10E+01;8,33E+02
424,80469;4,00E+01;8,52E+02
425,415;3,50E+01;7,99E+02
426,02539;5,00E+01;8,19E+02
426,63574;5,90E+01;8,48E+02
427,24609;4,70E+01;8,11E+02
427,85645;3,40E+01;7,80E+02
428,4668;4,20E+01;8,00E+02
429,07715;4,40E+01;8,57E+02
429,6875;3,60E+01;8,07E+02
430,29785;4,60E+01;8,01E+02
430,9082;3,30E+01;7,89E+02
431,51855;3,90E+01;8,26E+02
432,12891;4,40E+01;8,10E+02
432,73926;3,50E+01;8,31E+02
433,34961;4,80E+01;7,60E+02
433,96;4,30E+01;7,74E+02
434,57031;4,40E+01;8,11E+02
435,18066;4,60E+01;7,62E+02
435,791;5,30E+01;8,37E+02
436,40137;3,10E+01;8,10E+02
437,01172;4,50E+01;8,19E+02
437,62207;5,00E+01;8,33E+02
438,23242;4,40E+01;8,04E+02
438,84277;4,50E+01;7,48E+02
439,45313;4,10E+01;8,02E+02
440,06348;4,20E+01;7,42E+02
440,67383;4,30E+01;8,22E+02
441,28418;3,80E+01;7,50E+02
441,89453;5,00E+01;8,00E+02
442,50488;3,70E+01;8,00E+02
443,11523;4,10E+01;7,17E+02
443,72559;3,60E+01;7,71E+02
444,33594;5,20E+01;8,67E+02
444,94629;3,50E+01;8,51E+02
445,55664;3,30E+01;7,99E+02
446,167;4,00E+01;8,10E+02
